#,Name,NO,YDS,AVG,TB,OB,Year
97,"Wakefield, Steven",67,4088,61.0,25,0,2012
23,"Harold, Josh",1,60,60.0,0,0,2012
97,"Wakefield, Steven",56,3433,61.3,16,0,2013
99,"Spangler, Jordan",2,109,54.5,0,0,2013
93,"Kondis, Dylan",11,598,54.4,1,0,2013
99,"Spangler, Jordan",8,455,56.9,0,0,2014
93,"Kondis, Dylan",47,2650,56.4,8,5,2014
93,"Kondis, Dylan",53,3044,57.4,12,3,2015
93,"Kondis, Dylan",54,3238,60.0,13,3,2016
99,"Cole, Brendan",52,2972,57.2,6,2,2017
99,"Cole, Brendan",41,2459,60.0,6,0,2018
,"Shafer, Mark",2,115,57.5,0,0,2018
99,"Cole, Brendan",51,3121,61.2,17,3,2019
,Mark shafer jr,5,244,48.8,1,1,2019
,Ethanziegenfuss,4,241,60.3,0,0,2020
,Ethanziegenfuss,1,65,65.0,0,0,2021
14,"Ziegenfuss, Ethan",16,880,55.0,0,0,2021
90,"Schultz, Jayden",4,213,53.3,0,0,2021
,"Ziegenfuss, Etha",5,266,53.2,0,0,2021
12,"Alsobrooks, Brian",13,676,52.0,0,0,2021
,Brianalsobrooks,6,286,47.7,0,0,2021
90,"Schultz, Jayden",1,65,65.0,1,0,2022
92,"Bronco, Joseph",50,2908,58.2,3,1,2022
92,"Bronco, Joseph",47,2708,57.6,11,3,2023
94,"Nagucki, Nathan",4,238,59.5,0,0,2024
91,"Kline, Kaedon",53,2944,55.5,7,0,2024
91,"Young, Max",1,65,65.0,1,0,2025
42,"Harrington Jr., Mark",44,2523,57.3,5,2,2025
