#,Player,GP,Rating,COMP,ATT,INT,%,YDS,TD,Long,AVG/G,Year
16,"Urena, Adam",12,125.00,237,370,10,64.05%,2412,13,53,201.00,2025
12,"Gevaudan, Alex",7,119.36,24,39,1,61.54%,253,1,76,36.14,2025
14,"Black, Braydon",12,0.00,0,1,0,0.00%,0,0,0,0.00,2025
7,"Kerbacher, Joe",12,0.00,0,1,0,0.00%,0,0,0,0.00,2025
2,"Trobel, Brian",12,0.00,0,1,0,0.00%,0,0,0,0.00,2025
16,"Urena, Adam",12,125.00,237,370,10,64.05%,2412,13,53,201.00,2025
12,"Gevaudan, Alex",7,119.36,24,39,1,61.54%,253,1,76,36.14,2025
14,"Black, Braydon",12,0.00,0,1,0,0.00%,0,0,0,0.00,2025
7,"Kerbacher, Joe",12,0.00,0,1,0,0.00%,0,0,0,0.00,2025
2,"Trobel, Brian",12,0.00,0,1,0,0.00%,0,0,0,0.00,2025
4,"Vendemia, Anthony",11,151.61,115,211,7,54.50%,1938,17,52,176.18,2012
5,"Swartz, Alec",4,159.33,2,6,0,33.33%,90,0,75,22.50,2012
7,"Rock, Vladmir",11,444.40,1,1,0,100.00%,41,0,41,3.73,2012
,TeamTeam,6,0.00,0,1,0,0.00%,0,0,0,0.00,2012
17,"Woods, Devyn",11,0.00,0,1,0,0.00%,0,0,0,0.00,2012
4,"Vendemia, Anthony",10,129.42,104,185,9,56.22%,1355,12,63,135.50,2013
5,"Swartz, Alec",6,156.63,24,40,0,60.00%,303,4,36,50.50,2013
16,"Emerick, Zach",5,121.25,15,25,0,60.00%,143,1,27,28.60,2013
13,"Boylan, Brendan",11,175.60,1,1,0,100.00%,9,0,9,0.82,2013
13,"Boylan, Brendan",9,158.30,166,281,7,59.07%,2543,24,78,282.56,2014
16,"Emerick, Zach",7,112.96,32,54,2,59.26%,275,3,37,39.29,2014
7,"Finnegan, Ramroth",3,63.37,2,7,0,28.57%,29,0,18,9.67,2014
13,"Boylan, Brendan",7,137.12,103,183,6,56.28%,1354,14,44,193.43,2015
16,"Emerick, Zach",8,133.94,104,166,5,62.65%,1135,10,68,141.88,2015
19,"Weaver, Logan",4,92.61,27,53,7,50.94%,351,2,66,87.75,2015
83,"Bongiorni, Dylan",11,45.07,1,3,1,33.33%,28,0,28,2.55,2015
93,"Kondis, Dylan",11,108.40,1,1,0,100.00%,1,0,1,0.09,2015
,TeamTeam,9,0.00,0,4,0,0.00%,0,0,0,0.00,2015
15,"Altavilla, Doug",11,130.28,189,327,11,57.80%,2337,19,89,212.45,2016
4,"Weaver, Logan",5,80.98,16,32,0,50.00%,118,0,18,23.60,2016
5,"Sanders, Richie",11,1009.60,1,1,0,100.00%,69,1,69,6.27,2016
,"Finnegan, RamFinnegan",2,61.84,2,5,0,40.00%,13,0,10,6.50,2016
80,"Novak, Brad",11,0.00,0,2,0,0.00%,0,0,0,0.00,2016
,TeamTeam,7,0.00,0,2,0,0.00%,0,0,0,0.00,2016
15,"Altavilla, Doug",11,123.67,198,340,12,58.24%,2345,15,46,213.18,2017
80,"Novak, Brad",11,942.40,1,1,0,100.00%,61,1,61,5.55,2017
,"Finnegan, RamFinnegan",3,99.26,3,7,0,42.86%,47,0,17,15.67,2017
21,"Owens, Garrett",10,121.40,1,2,0,50.00%,17,0,17,1.70,2017
,TeamTeam,7,0.00,0,3,0,0.00%,0,0,0,0.00,2017
15,"Altavilla, Doug",11,117.48,146,263,12,55.51%,1715,13,73,155.91,2018
7,"Finnegan, Ramroth",4,52.68,3,10,0,30.00%,27,0,13,6.75,2018
31,"Holl, Jacob",11,0.00,0,1,0,0.00%,0,0,0,0.00,2018
21,"Owens, Garrett",9,0.00,0,2,0,0.00%,0,0,0,0.00,2018
20,"Tarasovitch, Jake",11,0.00,0,1,0,0.00%,0,0,0,0.00,2018
,TeamTeam,9,0.00,0,1,0,0.00%,0,0,0,0.00,2018
15,"Altavilla, Doug",11,128.17,154,262,15,58.78%,1893,16,80,172.09,2019
14,"Lowery, Michael",7,107.29,25,47,2,53.19%,311,1,27,44.43,2019
19,"Carter, Joe",2,336.27,2,3,0,66.67%,57,1,50,28.50,2019
21,"Owens, Garrett",11,117.20,1,2,0,50.00%,16,0,16,1.45,2019
4,"Watson, Cortez",11,184.00,1,1,0,100.00%,10,0,10,0.91,2019
19,"Carter, Joe",1,142.24,11,22,0,50.00%,163,2,62,163.00,2020
10,"Lowery, Michael",1,75.97,7,12,1,58.33%,49,0,14,49.00,2020
7,"Hill Jr., Justin",1,385.60,1,1,0,100.00%,34,0,34,34.00,2020
7,"Hill Jr., Justin",1,385.60,1,1,0,100.00%,34,0,34,34.00,2020
,TeamTeam,1,0.00,0,1,0,0.00%,0,0,0,0.00,2020
19,"Carter, Joe",8,120.67,96,176,8,54.55%,1183,10,68,147.88,2021
10,"Lowery, Michael",5,114.65,73,121,2,60.33%,673,4,33,134.60,2021
12,"Alsobrooks, Brian",10,65.97,14,27,2,51.85%,93,0,13,9.30,2021
16,"Davison, Rylan",10,251.20,2,2,0,100.00%,36,0,35,3.60,2021
,BrianalsobrooksBrianalsobrooks,3,39.32,4,10,1,40.00%,23,0,11,7.67,2021
9,"Shoaf, Dustin",11,268.00,1,1,0,100.00%,20,0,20,1.82,2021
,"Alsobrooks, BriaAlsobrooks",1,0.00,0,1,0,0.00%,0,0,0,0.00,2021
,TeamTeam,10,0.00,0,1,0,0.00%,0,0,0,0.00,2021
10,"Lowery, Michael",8,111.71,74,128,8,57.81%,776,6,47,97.00,2022
19,"Carter, Joe",7,102.40,57,108,8,52.78%,632,5,48,90.29,2022
12,"Alsobrooks, Brian",11,111.83,48,92,1,52.17%,520,4,59,47.27,2022
,"Alsobrooks, BriAlsobrooks",3,92.91,21,41,1,51.22%,188,1,31,62.67,2022
,"Cortopassi, Aus.Cortopassi",10,259.60,1,1,0,100.00%,19,0,19,1.90,2022
91,"Cortopassi, Austin",11,259.60,1,1,0,100.00%,19,0,19,1.73,2022
87,"Kerbacher, Joe",10,0.00,0,1,0,0.00%,0,0,0,0.00,2022
16,"Urena, Adam",11,130.23,234,389,13,60.15%,2651,23,66,241.00,2023
7,"Kerbacher, Joe",11,511.60,1,1,0,100.00%,49,0,49,4.45,2023
10,"Lowery, Michael",4,36.80,1,5,0,20.00%,10,0,10,2.50,2023
19,"Lippert, Austin",11,142.00,1,1,0,100.00%,5,0,5,0.45,2023
16,"Urena, Adam",11,148.31,268,400,5,67.00%,2773,31,61,252.09,2024
12,"Gevaudan, Alex",2,272.00,3,6,0,50.00%,80,2,42,40.00,2024
5,"Kim, Austin",10,66.80,1,2,0,50.00%,4,0,4,0.40,2024
,TeamTeam,11,0.00,0,1,0,0.00%,0,0,0,0.00,2024
