#,Name,FGM-FGA,%,I20,20-29,30-39,40-49,50+,Long,BLK,Year
97,"Wakefield, Steven",10-11,90.91%,0-0,2-2,6-7,2-2,0-0,46,1,2012
99,"Spangler, Jordan",1-1,100.00%,0-0,0-0,1-1,0-0,0-0,31,0,2013
97,"Wakefield, Steven",16-17,94.12%,1-1,7-7,5-5,3-4,0-0,41,0,2013
93,"Kondis, Dylan",4-6,66.67%,0-0,2-2,2-4,0-0,0-0,30,0,2014
93,"Kondis, Dylan",3-7,42.86%,0-0,2-4,1-3,0-0,0-0,34,2,2015
93,"Kondis, Dylan",10-15,66.67%,0-0,4-5,6-7,0-3,0-0,39,2,2016
,"Shafer, Mark",6-8,75.00%,0-0,5-6,1-2,0-0,0-0,35,1,2017
,"Shafer, Mark",6-9,66.67%,0-0,6-7,0-2,0-0,0-0,27,1,2018
99,"Cole, Brendan",0-1,0.00%,0-0,0-0,0-0,0-0,0-1,0,0,2018
,Mark shafer jr,4-7,57.14%,0-0,4-6,0-1,0-0,0-0,28,1,2019
99,"Cole, Brendan",1-2,50.00%,0-0,1-1,0-1,0-0,0-0,25,1,2019
,Ethanziegenfuss,0-1,0.00%,0-0,0-1,0-0,0-0,0-0,0,1,2020
12,"Alsobrooks, Brian",9-12,75.00%,1-1,3-3,5-7,0-1,0-0,39,0,2021
,"Alsobrooks, Bria",1-1,100.00%,0-0,0-0,1-1,0-0,0-0,30,0,2021
,Brianalsobrooks,2-3,66.67%,0-0,0-1,2-2,0-0,0-0,34,1,2021
12,"Alsobrooks, Brian",9-13,69.23%,1-1,3-3,4-5,1-3,0-1,41,0,2022
,"Alsobrooks, Bri",1-1,100.00%,0-0,0-0,1-1,0-0,0-0,30,0,2022
,"Alsobrooks, Bri",0-1,0.00%,0-0,0-0,0-0,0-1,0-0,0,0,2022
94,"Nagucki, Nathan",2-2,100.00%,0-0,2-2,0-0,0-0,0-0,22,0,2023
94,"Nagucki, Nathan",7-8,87.50%,1-1,6-7,0-0,0-0,0-0,26,1,2024
91,"Young, Max",6-10,60.00%,0-0,2-4,4-5,0-1,0-0,38,1,2025
