#,Name,GP,NO,YDS,AVG,Long,TB,I20,50+,BLK,Year
97,"Wakefield, Steven",,42,1759,41.88,77,3,16,6,1,2012
15,"Tibbitts, Chad",,1,35,35.00,35,0,0,0,0,2012
99,"Spangler, Jordan",,38,1421,37.39,55,3,9,5,1,2013
97,"Wakefield, Steven",,4,148,37.00,43,1,1,0,0,2013
99,"Spangler, Jordan",,42,1697,40.40,63,3,14,5,0,2014
93,"Kondis, Dylan",,4,151,37.75,55,0,1,1,0,2014
93,"Kondis, Dylan",,44,1840,41.82,67,0,11,8,0,2015
93,"Kondis, Dylan",,56,2219,39.63,65,1,11,5,2,2016
99,"Cole, Brendan",,2,55,27.50,31,0,0,0,0,2016
99,"Cole, Brendan",,44,1872,42.55,59,7,7,7,1,2017
99,"Cole, Brendan",,50,2109,42.18,74,4,16,7,1,2018
99,"Cole, Brendan",,43,1819,42.30,65,2,12,6,0,2019
99,"Crist, Carson",,6,157,26.17,38,0,0,0,0,2020
12,"Alsobrooks, Brian",,46,1814,39.43,66,2,10,4,0,2021
,Brianalsobrooks,,13,500,38.46,57,0,4,1,0,2021
,"Alsobrooks, Bria",,3,118,39.33,50,0,1,1,0,2021
,"Cortopassi, Aus.",,3,100,33.33,36,0,1,0,0,2021
91,"Cortopassi, Austin",,53,1919,36.21,67,2,20,4,1,2022
,"Cortopassi, Aus.",,49,1839,37.53,67,2,18,4,0,2022
90,"Schultz, Jayden",,1,53,53.00,53,0,1,1,0,2022
19,"Lippert, Austin",,45,1743,38.73,67,0,10,7,0,2023
92,"Pittman, Hunter",,25,1040,41.60,58,4,4,5,0,2024
90,"McGuire, Garrett",,6,192,32.00,49,0,0,0,0,2024
90,"McGuire, Garrett",,39,1457,37.36,52,3,7,1,0,2025
